Record ID,Job Title,Job function,Associated Company
7095122,"Manager, Application Solutions",Application Development,Oregon Department of Justice
7096884,"Manager, Information Technology Application Development 2 Sr33",Application Development,State of Oregon
7095125,"Manager, Application Services",Application Development,Seattle City Council
7096593,Recreation Programmer Supervisor,Application Development,City of Eugene
7097710,"Manager, Project Systems Development",Application Development,Oregon Department of Justice
7096754,"Manager, Permitting Applications",Application Development,Seattle City Council
7100252,"Manager, Dispatch Safety & Records Applications",Application Development,Seattle City Council
6801453,Project Manager,Application Development,Ausenco Limited;First Myanmar Investment
6798600,Chief Engineer,Application Development,First Myanmar Investment
6799031,Marine Chief Engineer,Application Development,Genesis Energy
6799192,Chief Environmental Engineer,Application Development,First Myanmar Investment
6798185,Chief Engineer,Application Development,Genesis Energy
6801342,Chief Environmental Engineer,Application Development,First Myanmar Investment
6801141,Chief Environmental Engineer,Application Development,First Myanmar Investment
6798875,"Director, Applications",Application Development,Genesis Energy
6797862,Chief Engineer,Application Development,First Myanmar Investment
6801566,"Senior Director, Application Support",Application Development,Veolia
6797854,Chief Mill Engineer,Application Development,First Myanmar Investment
6798868,Chief Engineer,Application Development,First Myanmar Investment
6797859,Chief Mine Engineer,Chief Officer ,Vale Canada Limited
6798706,Chief Operating Engineer,Application Development,Veolia
6801458,Chief Environmental Engineer,Application Development,First Myanmar Investment
6792241,"Director, Major Applications",Application Development,Hydro One Inc
6791945,"Director, Solution Delivery Information Technology",Application Development,Marathon Petroleum Corporation
6792854,Chief Engineer,Application Development,Marathon Petroleum Corporation
6789672,"Director, Power Delivery Design Applications",Application Development,NextEra Energy Resources
6636101,"Director, Advanced Application Development",Application Development,NextEra Energy Resources
6495605,"Manager, Application Development",Application Development,City of Kent
6496203,"Manager, Application Support & Development",Application Development,City of Salem
6496802,"Manager, Information Technology Application Development 2 Sr33 Exempt",Application Development,State of Oregon
6493304,IT Services Senior Application Analyst,Application Development,City of Yakima
154215493698,Maintenance Manager,Asset Management,Liberty Energy
154212806171,Maintenance Manager,Asset Management,"Peabody Energy, Inc."
154214941591,Maintenance Manager,Asset Management,"Peabody Energy, Inc."
154214630940,District Facilities Manager,Asset Management,Liberty Energy
154214716556,Maintenance Manager,Asset Management,"Peabody Energy, Inc."
154214716553,Maintenance Manager,Asset Management,"Peabody Energy, Inc."
154214816306,Maintenance Manager,Asset Management,"Peabody Energy, Inc."
154214816304,Maintenance Manager Lee Ranch/ El Segundo Mines,Asset Management,"Peabody Energy, Inc."
154215287209,District Maintenance Manager,Asset Management,Liberty Energy
154215287207,District Facilities Manager at Liberty Oilfield Services,Asset Management,Liberty Oilfield Services;Liberty Energy
154211667877,Sr. Maintenance Manager,Asset Management,"Peabody Energy, Inc."
154215474947,Maintenance Manager of Development,Asset Management,"Peabody Energy, Inc."
154212679263,Sr. Maintenance Manager,Asset Management,"Peabody Energy, Inc."
154212390661,Longwall Maintenance Manager,Asset Management,"Peabody Energy, Inc."
154214976416,Maintenance Manager,Asset Management,"Peabody Energy, Inc."
152943200687,"Asset Manager, ROV Manager",Asset Management,TechnipFMC
152943200686,"Asset Manager, Midland Basin South",Asset Management,ConocoPhillips
152943200685,Asset Manager | Reservoir Management Team Lead,Asset Management,Occidental Petroleum
152943200684,"Sales Manager, Asset Performance Solutions – Nigeria & West Africa",Asset Management,Baker Hughes
152943001151,Asset Manager,Asset Management,ADNOC Gas Processingأدنوك لمعالجة الغاز
152943001149,Asset Management Leader - Services Product Manager,Asset Management,Baker Hughes
152942941860,"Asset Manager, Libya & Deputy Director of JPT (Joint Project Team)",Asset Management,Suncor Energy
152942941855,"Asset Manager, Midland Basin North",Asset Management,ConocoPhillips
152882917973,Asset Manager - International Gas and LNG,Asset Management,ADNOC Gas Processingأدنوك لمعالجة الغاز
152942763402,"Manager, Asset Integrity",Asset Management,Cenovus Energy
152938913372,Asset Manager,Asset Management,TechnipFMC
152938913371,Asset Information Manager,Asset Management,Suncor Energy
152938913370,Asset Manager- LNG Trading,Asset Management,Bp Plc
152938913367,Asset Accounting Manager,Asset Management,Marathon Oil
152938794929,Global Asset Manager,Asset Management,Baker Hughes
152938794926,Sr Project Manager Asset Managment,Asset Management,Suncor Energy
152938794924,Director Maintenance & Reliability,Asset Management,Phillips 66
152938975629,Asset Manager,Asset Management,Bp Plc
152938975625,Senior Asset Manager,Asset Management,Baker Hughes
152938975627,Sr. Manager Asset Integrity,Asset Management,"ONEOK,"
152939096505,Asset Manager,Asset Management,Occidental Petroleum
152939096502,Area Asset Manager,Asset Management,Baker Hughes
152939096501,"Senior Manager, Decommissioning Asset Retirement",Asset Management,Cenovus Energy
152938975615,Sr. Manager Asset Integrity,Asset Management,"ONEOK,"
152938975611,Manager / Development Leader - Asset Integration and Energy Efficiency,Asset Management,Suncor Energy
152938913361,Lead Asset Manager,Asset Management,Baker Hughes
152938913360,Raegional Asset Reliabity Manager,Asset Management,Trans Canada;TC Energy
152938913356,Asset Manager,Asset Management,Phillips 66;DCP Midstream
152908431251,"Manager, Enterprise Asset Management",Asset Management,"ONEOK,"
152939086886,"Manager, Asset Compliance",Asset Management,TC Energy
152939086885,Asset Manager,Asset Management,Bp Plc
152882511927,Inventory & Asset Manager,Asset Management,Baker Hughes
152882511926,Manager Asset Integrity,Asset Management,Cenovus Energy
152882511923,Delaware Basin West Asset Manager,Asset Management,ConocoPhillips
152939050521,WNS Asset Development Manager,Asset Management,ConocoPhillips
152938992968,Asset Manager Gulf of Mexico,Asset Management,Marathon Oil
152938992967,Asset Manager,Asset Management,Occidental Petroleum
152938992964,NOJV Asset Manager,Asset Management,Bp Plc
152938927413,"Real Estate Analysis Manager, Asset Management",Asset Management,ADNOC Gas Processingأدنوك لمعالجة الغاز
152938927409,"Manager, Asset Origination",Asset Management,Phillips 66
152938943519,Asset Manager,Asset Management,Occidental Petroleum
152942896794,Asset Manager,Asset Management,Occidental Petroleum
152942896786,"Asset Manager, New Energies",Asset Management,ADNOC Gas Processingأدنوك لمعالجة الغاز
152939112538,PMO T&I Asset Manager,Asset Management,General Electric;GE Vernova
152920739075,Manager Brooks North Asset Team,Asset Management,Cenovus Energy
152920738998,Asset Manager,Asset Management,Woodside Energy
152942984775,"Manager, Asset Management",Asset Management,TC Energy
152942984770,Regional Asset Manager,Asset Management,Baker Hughes
152939277211,Asset & Operating Integrity Manager,Asset Management,ConocoPhillips
152908722740,Asset Manager,Asset Management,ConocoPhillips
152939236933,Asset Integrity Project Manager,Asset Management,"ONEOK,"
152938913314,Asset Manager,Asset Management,Bloom Energy
152938913306,Asset Manager,Asset Management,Baker Hughes
152939507738,Senior Asset Manager,Asset Management,Baker Hughes
152939507732,Asset Development Manager,Asset Management,TC Energy
152883333188,Global Tooling Manager (Asset Management),Asset Management,Baker Hughes
152883333187,Sr. Fleet Asset Manager,Asset Management,TechnipFMC
152883333185,Regional Asset Manager,Asset Management,Baker Hughes
152943077781,Asset Management Europe&Africa Sales&Business Development Manager,Asset Management,GE Vernova
152943077780,"Business Development Manager, Asset Management & Installation Sevices",Asset Management,TechnipFMC
152943077777,Asset Maintenance System Manager,Asset Management,TechnipFMC
152943077774,Asset Manager,Asset Management,Baker Hughes
152918769993,Power Asset Manager,Asset Management,Occidental Petroleum
152939216392,Global Asset Manager,Asset Management,Baker Hughes
152939216388,Home Asset Manager & Jack of all Trades,Asset Management,"ONEOK,"
152939216386,GKA Asset Development Manager,Asset Management,ConocoPhillips
152919606305,"Manager, Well Asset Management",Asset Management,Cenovus Energy
152939096174,Manager - Business Process Optimization (Asset Integrity Focus),Asset Management,"ONEOK,"
152939096171,Asset Manager,Asset Management,Phillips 66
152939096168,"Manager, Asset and Inventory Management, Baker Hughes",Asset Management,Baker Hughes
152938702946,"Manager, Asset Development",Asset Management,Cenovus Energy
152938702945,Asset Development Manager Libya,Asset Management,ConocoPhillips
152938702944,Regional Asset Reliability Project Manager,Asset Management,TC Energy
152938702943,"Lead Logistic Specialist, Asset Management",Asset Management,Baker Hughes
152938702941,Global Asset Manager,Asset Management,Baker Hughes
152939313817,Asset Manager Bass Strait,Asset Management,Woodside Energy
152939313816,"Manager, Fixed Asset Accounting",Asset Management,Cenovus Energy
152939065237,Senior Manager - Asset Planning & Optimization,Asset Management,"ONEOK,"
152938718770,Asset Manager,Asset Management,Woodside Energy
152938718768,Section Head Maintenance - NGL and Sulphur,Asset Management,ADNOC Gas Processingأدنوك لمعالجة الغاز
152938718762,Asset & Inventory Manager Sub-Saharan Africa,Asset Management,Baker Hughes
152939323036,Asset Integration Manager,Asset Management,TC Energy
152939323033,"Director, Maintenance and Reliability",Asset Management,Cenovus Energy
152919180883,Sr. Fleet Asset Manager,Asset Management,TechnipFMC
152919180876,Asset Manager,Asset Management,Baker Hughes
152919180875,Geomarket Asset Manager,Asset Management,Baker Hughes
152919180877,"Manager, Asset Information Management Projects",Asset Management,Cenovus Energy
152881436068,IT Asset Manager,Asset Management,Baker Hughes
152881436067,Hardware Asset Manager,Asset Management,TC Energy
152881436062,Asset Manager,Asset Management,Baker Hughes
152908431162,"RMTL/Asset Manager: Keathley Canyon, Gulf of Mexico",Asset Management,Occidental Petroleum
152938869561,Williston & Rockies Asset Manager,Asset Management,ConocoPhillips
152938869560,Global Hardware Asset Manager,Asset Management,TechnipFMC
152938869559,"Asset Manager, NWS Onshore",Asset Management,Woodside Energy
152939112374,Power Asset Manager (WECC),Asset Management,ConocoPhillips
152939112372,Asset Manager Northern Delaware Basin West,Asset Management,ConocoPhillips
152943228500,Asset Manager for the Pyrenees Venture FPSO and Macedon Gas Plant,Asset Management,Woodside Energy
152939216228,JV Asset Manager,Asset Management,ConocoPhillips
152939216225,Asset Manager,Asset Management,Woodside Energy
152939216222,"Manager, Asset Modernization",Asset Management,TC Energy
152882511643,Rental Asset Manager APAC,Asset Management,TechnipFMC
152882511640,"Account Manager, Bently Nevada Asset Condition Monitoring",Asset Management,Baker Hughes
152882511639,JV Asset Manager,Asset Management,ConocoPhillips
152882511636,Logistics & Asset Manager,Asset Management,Baker Hughes
152880174699,"Manager, Capital, Maintenance and Asset Retirement Obligations",Asset Management,Cenovus Energy
152880174698,Global Asset Manager - Pressure Pumping,Asset Management,Baker Hughes
152938732460,Inventory Analyst / Asset Manager,Asset Management,Baker Hughes
152938732459,Project Manager IEPI - Asset Integrity Projects,Asset Management,TC Energy
152938732455,Manager - Asset Information Management BUP Regional,Asset Management,Suncor Energy
152939507537,Sangomar Asset Manager,Asset Management,Woodside Energy
152938854003,JV Asset Manager,Asset Management,Bp Plc
152938854002,Asset Manager,Asset Management,Occidental Petroleum
152938853997,Asset Manager,Asset Management,ConocoPhillips
152938853989,"Manager, Asset Management Sustaining Projects",Asset Management,Suncor Energy
152938853988,Regional Asset Manager,Asset Management,Bp Plc
152881930385,Joint Ventures and Asset Manager,Asset Management,Bp Plc
152881930384,Software Asset Manager,Asset Management,Phillips 66
152939313727,Asset Manager,Asset Management,Bp Plc
152939313726,Asset Manager,Asset Management,Occidental Petroleum
152908722542,Director Sales & Marketing Asset Managment,Asset Management,Suncor Energy
152908722540,Global Asset Manager,Asset Management,Baker Hughes
152908722538,Asset Manager,Asset Management,Avangrid Service Company
152908722536,ALS Global Asset Manager - Baker Hughes,Asset Management,Baker Hughes
152943123545,USNE Renewable Asset Manager,Asset Management,Trans Canada;TC Energy
152943123544,Asset Manager & Shareholder Representative JV Iberdrola,Asset Management,Bp Plc
152943123541,Asset Integrity Project Manager I,Asset Management,"ONEOK,"
152918600089,"Asset Facilities Manager (B-9,B-27 & B-65)",Asset Management,Anadarko Petroleum;Occidental Petroleum
152918600084,"Senior Manager, Well Abandonment and Decommissioning - Asset Retirement",Asset Management,Cenovus Energy
152943093027,North America Region Inventory/Asset Manager,Asset Management,Baker Hughes
152943093026,Asset Management Lead,Asset Management,Bp Plc
152943093022,Information Management / Asset & Configuration Management Lead & Department Supervisor,Asset Management,"ONEOK,"
152943093019,Lower 48 Asset Integrity Manager,Asset Management,ConocoPhillips
152883332766,Senior Asset Manager,Asset Management,Avangrid Service Company
152883332765,Senior Product Manager - Asset Health Solutions,Asset Management,Baker Hughes
152883332762,"Manager, Commercial Asset Planning East & Optimization",Asset Management,TC Energy
152883332761,Asset Manager at Occidental ► A 19+ Year Track Record,Asset Management,Occidental Petroleum
152883332760,Asset Manager,Asset Management,Bp Plc
152883332757,Asset Manager,Asset Management,ConocoPhillips
152939020342,Manager - Capital Asset Planning & Asset Management,Asset Management,Baker Hughes
152939020340,Asset Manager (Projects),Asset Management,Bp Plc
152939020337,Asset and Development Manager,Asset Management,ConocoPhillips
152942808099,Region Asset Manager - Saudi Arabia at Baker Hughes,Asset Management,Baker Hughes
152939357587,Product Manager and Business Engagement - Intelligent Asset Group,Asset Management,Woodside Energy
152939357586,Asset Manager,Asset Management,Occidental Petroleum
152939357583,Manager Asset Development - Idd El Shargi,Asset Management,ConocoPhillips
152939357582,Global Asset Manager,Asset Management,Baker Hughes
152943000592,Senior Asset Manager - Offshore Wind,Asset Management,Bp Plc
152943000591,"Director, Reliability & Maintenance",Asset Management,Husky Energy;Cenovus Energy
152943000584,"Manager, Asset Recovery, Logistics & Project Services",Asset Management,TC Energy
150914750888,Asset Manager,Asset Management,Horizon Power
129115171967,Manager Asset Strategies,Asset Management,Powerlink
129108497443,Project Director Asset Projects & Services,Asset Management,EnergyAustralia Pty Ltd
129123816734,Manager - Reliability Forecasting,Asset Management,AEMO
95114116131,Remote Sites Maintenance Supervisor,Asset Management,The University of Queensland
80026944147,Asset Inspection Manager,Asset Management,Essential Energy
51231174469,Huntly Mobile Maintenance Planner,Asset Management,Alcoa of Australia Ltd
47658972720,Asset Services Delivery Manager,Asset Management,Horizon Power
27716415883,National Maintenance & Continuous Improvement Manager,Asset Management,InfraBuild
23337459636,Line Maintenance Supervisor,Asset Management,United Airlines
23352428688,Airfield Maintenance Supervisor,Asset Management,Bangor International Airport
23352428687,Maintenance Supervisor,Asset Management,Hawaiian Airlines
23352428686,Line Maintenance GSE Tech Ops Supervisor,Asset Management,SMU Cox School of Business;American Airlines Group
23339086360,Aircraft Maintenance Supervisor,Asset Management,United Airlines
23349194262,Dallas-FT Worth District GSE Maintenance Supervisor American Airlines,Asset Management,American Airlines Group
23349194261,Maintenance Supervisor,Asset Management,American Airlines Group
23349194258,Aircraft Maintenance Supervisor,Asset Management,SMU Cox School of Business;American Airlines Group
23349176219,Aircraft Maintenance Supervisor,Asset Management,SMU Cox School of Business;American Airlines Group
23349176213,Fleet & Field Maintenance Supervisor,Asset Management,Ryan Airfield;Tucson International Airport
23349176212,Aircraft Maintenance Supervisor,Asset Management,American Airlines Group
23352957098,Supervisor - Line Maintenance,Asset Management,United Airlines
23352957095,Line Maintenance Supervisor,Asset Management,United Airlines
23352327310,Maintenance Supervisor,Asset Management,JBT AeroTech
23350023848,Maintenance Ops Control Supervisor,Asset Management,Hawaiian Airlines
23350023840,Building Maintenance Supervisor,Asset Management,Mobile Regional Airport
21737609866,Transport Network Data and Asset Management,Asset Management,Department of Transport and Main Roads
21039705648,Senior Resource Specialist,Asset Management,Transport for NSW
19019238052,Asset Management Officer,Asset Management,SA Power Networks
17691660900,Asset Inspection Supervisor - Chief Remote Pilot,Asset Management,Essential Energy
16660956570,Personal Assistant to HoF Asset Performance,Asset Management,Western Power
15927132065,Strategic Asset Management,Asset Management,SGSP
15080500032,Maintenance Manager,Asset Management,Columbia Metropolitan Airport (CAE);Columbia Airport
15082161543,Maintenance Supervisor,Asset Management,goaa.org
15086336790,Facilities Asset Manager,Asset Management,goaa.org
15079679050,Airport Maintenance Supervisor,Asset Management,City of Los Angeles;LAX Airport
15079679044,Maintenance Manager,Asset Management,Fort Wayne - Allen County Airport Authority
15082451793,Maintenance Supervisor,Asset Management,Harry Reid International Airport;Harryreidairport
15082451792,Maintenance and Operation Supervisor,Asset Management,Harry Reid International Airport;Harryreidairport
15080149141,Airport Maintenance Manager,Asset Management,San Francisco International Airport
15071925428,"Manager, Plant Maintenance",Asset Management,goaa.org
15071925427,"Assistant Manager, Terminal Facilities",Asset Management,goaa.org
15081488281,Maintenance Manager,Asset Management,Blue Grass Airport
15066518306,Airfield Maintenance Supervisor,Asset Management,Sioux Falls Regional Airport
15082957622,Maintenance Supervisor,Asset Management,Fort Wayne - Allen County Airport Authority
15070345735,Building Maintenance supervisor,Asset Management,Blue Grass Airport
15080476305,Manager of Properties and Facilities,Asset Management,Lake Charles Regional Airport
15082447443,Senior Maintenance Resource & Asset Analyst,Asset Management,Vancouver Airport
15077800828,"Manager, Maintenance Services",Asset Management,Vancouver Airport
15080880811,"Manager Transportation, infrastructure Maintenance",Asset Management,Vancouver Airport
15082070945,Assistant Maintenance Manager,Asset Management,Albany International Airport
15078328840,Airfield Maintenance Manager,Asset Management,Vancouver Airport
15081328811,Manager of Facilities,Asset Management,Skyxe Saskatoon Airport
15079842084,Airport Maintenance Manager,Asset Management,Naples Airport
15067210095,Maintenance Manager (Systems),Asset Management,tampa international airport;Tampa Airport
9128701,Renewable Energy Asset Management,Asset Management,TotalEnergies
9053951,Asset Inspection Manager,Asset Management,Energy Queensland
9053901,Asset Maintenance and Vegetation Manager,Asset Management,Energy Queensland
9016651,Senior Asset Intelligence Lead,Asset Management,Transgrid
8922401,Group GM - Renewables and Asset Services,Asset Management,AGL
8864201,ITS Asset Management Analyst,Asset Management,Clevelandohio
8806451,Manager of Facilities,Asset Management,Charleston International Airport
8802701,GIS/SAP Asset Management Team Leader,Asset Management,Powerco Limited
8795351,City Facilities Program Manager,Asset Management,City of Boise
8795051,Director of Asset Management,Asset Management,Pacifi
8748955,Director of Asset Excellence and Dam Safety,Asset Management,PG&E
8752251,Component Maintenance Optimization (CMO) Branch Manager,Asset Management,Constellation Energy Corporation
8736001,Asset manager - Solar,Asset Management,Renewable Energy Systems Limited
8735901,Asset manager,Asset Management,Renewable Energy Systems Limited
8720201,Airfield maintenance supervisor,Asset Management,tampa international airport
8703951,Aviation Facilities and Infrastructure Manager,Asset Management,Port of Seattle
8699101,Air Cargo Facilities Manager,Asset Management,Port of Seattle
8698201,Superintendent of Systems Maintenance,Asset Management,BART
8697051,Superintendent of Airport Facilities Management,Asset Management,talgov
8660901,Facilities Manager,Asset Management,Halifax International Airport Authority
8659901,Service & Asset Management Planner,Asset Management,Halifax International Airport Authority
8646701,IT Director of Work & Asset Management,Asset Management,American Electric Power Co
8646451,Director of Reliability & Grid Modernization,Asset Management,American Electric Power Co
8589601,Facilities Manager,Asset Management,Harry Reid International Airport
8576951,EM - Asset Management,Asset Management,Western Power
8563551,Asset Data Intelligence Analyst,Asset Management,Powerco Limited
8562251,GM - Asset manager,Asset Management,SGSP
8528251,Head of Commercial Asset Management,Asset Management,Renewable Energy Systems Limited
8527301,Facilities Management Officer,Asset Management,City of Long Beach
8526701,Associate Asset Manager,Asset Management,San Diego International Airport
8526601,Associate Asset Manager / Revenue Generation & Partnership Development,Asset Management,San Diego International Airport
8525951,Associate Asset Manager,Asset Management,San Diego International Airport
8525651,Asset Manager,Asset Management,San Diego International Airport
8525601,Associate Asset Manager,Asset Management,San Diego International Airport
8525201,"Manager, Facilities Management",Asset Management,San Diego International Airport
8503205,Asset Manager,Asset Management,Enel Green Power
8500905,Maintenance Manager,Asset Management,Hussey & Co
8503503,Asset Manager,Asset Management,Atmos Renewables
8500655,Asset Manager,Asset Management,Neoen Australia
8501955,Asset Manager,Asset Management,Atmos Renewables
8500603,Maintenance Manager,Asset Management,True Foods
8502152,Maintenance Planner/Scheduler & SAP Master Data Support,Asset Management,CleanCo Queensland
8502052,Plant Asset Manager,Asset Management,NovaSource Power Services
8501953,Asset Management and Compliance,Asset Management,Canadian Solar Inc.
8502202,Head of Asset Management - Australia,Asset Management,Enel Green Power
8502801,Asset Manager,Asset Management,Enel Green Power
8501851,Head of Asset Management,Asset Management,Atmos Renewables
8500802,Senior Asset Manager,Asset Management,Neoen Australia
8500901,Maintenance Electrician,Asset Management,CleanCo Queensland
8479551,Asset Manager - Renewables and Power Transmission,Asset Management,APA Group
8460601,Asset Management System Lead,Asset Management,New York Power Authority
8450651,Delivery Manager- Maintenance,Asset Management,Beon Energy Solutions
8378251,Director of Asset Management & Quality Assurance,Asset Management,ENMAX
8378051,Lead of Reliability and Asset Management,Asset Management,ENMAX
8377001,Manager of Transmission System Development and Asset Management,Asset Management,ENMAX
8360351,Asset,Asset Management,SaskPower
8345302,Head of Asset Operation and Maintenance,Asset Management,Austrian Power Grid AG
8257301,Director of Reliability Metro New Orleans,Asset Management,Entergy
8247821,Corporate Asset Management Program Leader,Asset Management,Logan City Council
8248058,Corporate Asset Management Program Leader,Asset Management,Logan City Council
8248010,Asset Management Lead,Asset Management,City of Charles Sturt
8247853,Major Projects Asset Management,Asset Management,bcc.qld.gov.au
8247601,"Asset Management Planning, Erosion and Sediment Control",Asset Management,bcc.qld.gov.au
8247309,Community Facilities Sport and Recreation,Asset Management,bcc.qld.gov.au
8247301,"Team Leader, Community Asset Management",Asset Management,Port Stephens Council NSW
8247108,Asset Management Learning Advisor,Asset Management,Redland City Council
8246752,"Senior Leasing, Asset Management Officer",Asset Management,bcc.qld.gov.au
8246710,Asset Management Officer,Asset Management,Logan City Council
8246704,Asset Management Officer,Asset Management,Clarence Council NSW
8246701,GIS Asset Management Officer,Asset Management,Moreton Bay Regional Council
8246653,Planning Officer (Asset Management),Asset Management,Ipswich City Council
8246470,Recreation Development Officer ( Community Facilities ),Asset Management,City of South Perth
8246556,Recreation Facilities Officer,Asset Management,The Arts Centre
8246552,Parks Contract Maintenance Officer,Asset Management,Logan City Council
8246253,Senior Recreation Facilities & Reserves Officer,Asset Management,City of Cockburn
8246157,Parks Asset Management Officer,Asset Management,Logan City Council
8246156,Asset Management Officer,Asset Management,Town of Port Hedland
8246155,Asset Maintenace Strategic Asset Management Analyst,Asset Management,Redland City Council
8245670,Leasing Asset Management Officer,Asset Management,bcc.qld.gov.au
8245662,Asset Management Technical Officer,Asset Management,Tweed Heads
8245661,Asset Management Technical Officer,Asset Management,Ceduna District Council
8246109,Safety Camera Program Asset Management Officer,Asset Management,Logan City Council
8246108,Senior GIS Assets Asset Management Specialist,Asset Management,vicpark.wa.gov.au
8246104,Asset Management Officer,Asset Management,Clarence Council NSW
8246101,"Division Major Projects, Major Projects, Asset Management Officer",Asset Management,bcc.qld.gov.au
8246057,Asset Management Specialist,Asset Management,Gladstone Regional Council
8245920,Asset Management Technical Officer,Asset Management,Noosa Shire Council
8245919,Asset Management Officer,Asset Management,Fraser Coast Regional Council
8245916,IT Software Asset Management Officer,Asset Management,Sunshine Coast Council
8245914,Technologies Asset Management Specialist,Asset Management,bcc.qld.gov.au
8245913,Senior Planning Asset Management Officer,Asset Management,Ipswich City Council
8246006,Senior Leasing Asset Management Officer,Asset Management,bcc.qld.gov.au
8246004,Project Asset Management Information Services Officer,Asset Management,Sunshine Coast Council
8246003,"Transport Assets& Facilities Support, Facility& Assets Management Officer",Asset Management,bcc.qld.gov.au
8246002,Asset Management Officer,Asset Management,Fraser Coast Regional Council
8245960,Senior Asset Management Quality Officer,Asset Management,The Arts Centre
8245902,Parks Maintenance Supervisor,Asset Management,Logan City Council
8245859,"Supervisor, Parks Infrastructure Maintenance",Asset Management,Cairns Regional Council
8245858,Parks Maintenance Supervisor,Asset Management,Redland City Council
8245853,Supervisor- Parks Grounds Maintenance,Asset Management,Moreton Bay Regional Council
8245717,Supervisor Parks Maintenance,Asset Management,City of Wanneroo
8245806,"Supervisor, Parks Facilities",Asset Management,Logan City Council
8245804,Park Asset Maintenance Supervisor,Asset Management,Logan City Council
8245760,Parks Maintenance Supervisor,Asset Management,City of South Perth
8245757,"Supervisor, Parks Infrastructure Maintenance",Asset Management,Cairns Regional Council
8245756,Water & Wastewater Infrastructure Asset Management Service Manager,Asset Management,Redland City Council
8245706,"Manager - Strategic Assets, Facilities and Accommodation Management.",Asset Management,"Department of Regional Development, Manufacturing and Water;bcc.qld.gov.au"
8245608,Hardware Asset Manager,Asset Management,Ipswich City Council
8245554,Property Asset Manager,Asset Management,bcc.qld.gov.au
8245552,"Manager, Tweed Holiday Parks & Cultural Facilities",Asset Management,Tweed Heads
8245509,"Manager, Building & Facilities Assets",Asset Management,Sunshine Coast Council
8245508,Property Portfolio Asset Manager,Asset Management,City of Subiaco
8245504,Manager Parks and facilities,Asset Management,ccrc.qld.gov.au
8245356,Asset Manager,Asset Management,bcc.qld.gov.au
8245354,Asset Manager,Asset Management,Yorke Peninsula Council
8245257,Asset Manager,Asset Management,Port Stephens Council NSW
8245256,"Manager, Facilities & Assets",Asset Management,bcc.qld.gov.au
8245253,"Manager, Parks & Facilities",Asset Management,Livingstone Shire Council
8245206,Process and Asset Manager,Asset Management,Bundaberg Regional Council
8244770,"Project Manager, Asset Management & ERP",Asset Management,Whitsunday Regional Council
8244769,"Project Manager, Asset Management & ERP",Asset Management,Whitsunday Regional Council
8244768,"Manager, Strategic Asset Management",Asset Management,bcc.qld.gov.au
8244767,Asset Manager Community and Corporate Assets,Asset Management,City of Playford
8244761,"Branch Manager, Asset Management",Asset Management,Sunshine Coast Council
8244970,"Manager, Asset Management Projects & Innovation",Asset Management,bcc.qld.gov.au
8244969,"Manager, Facilities, Projects & Assets",Asset Management,City of Stirling
8244967,"Manager, Section Asset Management",Asset Management,Ipswich City Council
8244965,"Manager, Asset Management",Asset Management,Moreton Bay Regional Council
8244961,Marine Asset Management Service Manager,Asset Management,Redland City Council
